LOAD_ZONE,TIMEPOINT,zone_demand_mw
Menorca,480,42.84
Menorca,481,38.96
Menorca,482,36.61
Menorca,483,35.77
Menorca,484,35.59
Menorca,485,36.90
Menorca,486,42.41
Menorca,487,52.46
Menorca,488,61.71
Menorca,489,66.89
Menorca,490,69.14
Menorca,491,67.97
Menorca,492,66.50
Menorca,493,64.16
Menorca,494,60.43
Menorca,495,57.96
Menorca,496,57.46
Menorca,497,59.01
Menorca,498,60.94
Menorca,499,62.69
Menorca,500,64.07
Menorca,501,64.91
Menorca,502,57.51
Menorca,503,49.61
Menorca,504,43.67
Menorca,505,40.10
Menorca,506,37.73
Menorca,507,36.60
Menorca,508,36.19
Menorca,509,37.69
Menorca,510,42.89
Menorca,511,53.70
Menorca,512,63.14
Menorca,513,69.47
Menorca,514,71.34
Menorca,515,70.26
Menorca,516,68.57
Menorca,517,66.17
Menorca,518,62.64
Menorca,519,59.69
Menorca,520,59.51
Menorca,521,61.43
Menorca,522,63.67
Menorca,523,65.60
Menorca,524,65.84
Menorca,525,66.31
Menorca,526,59.61
Menorca,527,51.30
Menorca,528,45.11
Menorca,529,43.60
Menorca,530,40.80
Menorca,531,39.54
Menorca,532,39.11
Menorca,533,40.67
Menorca,534,45.67
Menorca,535,56.01
Menorca,536,65.86
Menorca,537,72.64
Menorca,538,75.27
Menorca,539,73.56
Menorca,540,72.39
Menorca,541,70.60
Menorca,542,66.60
Menorca,543,64.00
Menorca,544,63.57
Menorca,545,65.13
Menorca,546,68.61
Menorca,547,70.70
Menorca,548,70.74
Menorca,549,70.67
Menorca,550,64.40
Menorca,551,55.56
Menorca,552,48.54
Menorca,553,44.17
Menorca,554,41.34
Menorca,555,40.19
Menorca,556,39.81
Menorca,557,41.10
Menorca,558,46.43
Menorca,559,57.56
Menorca,560,67.86
Menorca,561,74.69
Menorca,562,76.97
Menorca,563,75.76
Menorca,564,74.07
Menorca,565,72.21
Menorca,566,68.39
Menorca,567,65.84
Menorca,568,65.41
Menorca,569,67.90
Menorca,570,71.03
Menorca,571,73.31
Menorca,572,72.63
Menorca,573,72.27
Menorca,574,65.81
Menorca,575,57.34
Menorca,576,49.81
Menorca,577,48.10
Menorca,578,44.90
Menorca,579,43.00
Menorca,580,42.69
Menorca,581,44.03
Menorca,582,48.50
Menorca,583,59.49
Menorca,584,70.46
Menorca,585,77.80
Menorca,586,80.99
Menorca,587,80.09
Menorca,588,78.61
Menorca,589,77.00
Menorca,590,73.97
Menorca,591,71.66
Menorca,592,70.94
Menorca,593,73.64
Menorca,594,76.90
Menorca,595,78.46
Menorca,596,77.27
Menorca,597,76.26
Menorca,598,71.04
Menorca,599,62.07
Menorca,600,54.33
Menorca,601,56.64
Menorca,602,52.27
Menorca,603,50.10
Menorca,604,48.93
Menorca,605,49.61
Menorca,606,53.74
Menorca,607,64.90
Menorca,608,77.41
Menorca,609,87.06
Menorca,610,91.33
Menorca,611,91.09
Menorca,612,90.73
Menorca,613,89.87
Menorca,614,86.97
Menorca,615,84.59
Menorca,616,84.20
Menorca,617,86.57
Menorca,618,89.67
Menorca,619,91.69
Menorca,620,90.64
Menorca,621,89.50
Menorca,622,84.60
Menorca,623,74.97
Menorca,624,65.30
Menorca,625,64.30
Menorca,626,59.64
Menorca,627,57.01
Menorca,628,56.14
Menorca,629,56.60
Menorca,630,60.63
Menorca,631,71.81
Menorca,632,85.14
Menorca,633,94.87
Menorca,634,100.43
Menorca,635,100.31
Menorca,636,99.96
Menorca,637,99.11
Menorca,638,96.40
Menorca,639,93.74
Menorca,640,93.23
Menorca,641,95.34
Menorca,642,98.06
Menorca,643,99.91
Menorca,644,98.83
Menorca,645,98.17
Menorca,646,92.54
Menorca,647,82.59
Menorca,648,72.36
Menorca,649,63.63
Menorca,650,59.19
Menorca,651,56.77
Menorca,652,55.69
Menorca,653,56.50
Menorca,654,60.91
Menorca,655,71.73
Menorca,656,85.13
Menorca,657,95.13
Menorca,658,99.64
Menorca,659,99.27
Menorca,660,98.14
Menorca,661,97.21
Menorca,662,94.20
Menorca,663,91.09
Menorca,664,90.27
Menorca,665,92.56
Menorca,666,95.66
Menorca,667,97.94
Menorca,668,96.31
Menorca,669,95.21
Menorca,670,89.41
Menorca,671,79.63
Menorca,672,69.76
Menorca,673,61.11
Menorca,674,56.66
Menorca,675,54.34
Menorca,676,53.41
Menorca,677,54.20
Menorca,678,59.19
Menorca,679,69.57
Menorca,680,82.19
Menorca,681,91.83
Menorca,682,98.04
Menorca,683,97.53
Menorca,684,97.06
Menorca,685,96.13
Menorca,686,93.00
Menorca,687,90.07
Menorca,688,89.23
Menorca,689,91.97
Menorca,690,94.99
Menorca,691,97.67
Menorca,692,96.17
Menorca,693,96.03
Menorca,694,90.03
Menorca,695,79.77
Menorca,696,69.56
Menorca,697,65.00
Menorca,698,60.14
Menorca,699,57.46
Menorca,700,55.94
Menorca,701,56.64
Menorca,702,61.24
Menorca,703,71.17
Menorca,704,84.27
Menorca,705,94.90
Menorca,706,100.89
Menorca,707,100.63
Menorca,708,100.33
Menorca,709,99.76
Menorca,710,97.07
Menorca,711,93.96
Menorca,712,92.91
Menorca,713,94.93
Menorca,714,98.46
Menorca,715,100.70
Menorca,716,99.17
Menorca,717,99.11
Menorca,718,92.73
Menorca,719,82.79
Menorca,720,72.34
Menorca,721,62.26
Menorca,722,57.56
Menorca,723,54.87
Menorca,724,53.99
Menorca,725,54.93
Menorca,726,59.90
Menorca,727,69.53
Menorca,728,82.24
Menorca,729,92.90
Menorca,730,98.79
Menorca,731,98.56
Menorca,732,97.99
Menorca,733,97.19
Menorca,734,93.96
Menorca,735,90.56
Menorca,736,89.81
Menorca,737,92.36
Menorca,738,96.23
Menorca,739,99.37
Menorca,740,99.01
Menorca,741,99.79
Menorca,742,91.90
Menorca,743,81.44
Menorca,744,71.20
Menorca,745,72.63
Menorca,746,67.07
Menorca,747,63.64
Menorca,748,62.33
Menorca,749,62.79
Menorca,750,67.71
Menorca,751,76.90
Menorca,752,89.91
Menorca,753,101.14
Menorca,754,108.10
Menorca,755,108.23
Menorca,756,107.71
Menorca,757,107.17
Menorca,758,104.64
Menorca,759,102.06
Menorca,760,100.89
Menorca,761,102.96
Menorca,762,106.40
Menorca,763,109.31
Menorca,764,108.91
Menorca,765,110.64
Menorca,766,102.57
Menorca,767,91.71
Menorca,768,80.50
Menorca,769,62.37
Menorca,770,57.60
Menorca,771,54.73
Menorca,772,53.67
Menorca,773,54.26
Menorca,774,58.97
Menorca,775,67.09
Menorca,776,79.23
Menorca,777,90.10
Menorca,778,96.19
Menorca,779,96.41
Menorca,780,95.83
Menorca,781,95.04
Menorca,782,92.21
Menorca,783,89.24
Menorca,784,87.97
Menorca,785,90.66
Menorca,786,95.03
Menorca,787,99.29
Menorca,788,100.44
Menorca,789,102.31
Menorca,790,92.89
Menorca,791,81.91
Menorca,792,71.44
Menorca,793,60.37
Menorca,794,56.04
Menorca,795,53.14
Menorca,796,52.13
Menorca,797,53.03
Menorca,798,58.50
Menorca,799,67.04
Menorca,800,79.49
Menorca,801,90.17
Menorca,802,95.61
Menorca,803,95.07
Menorca,804,94.20
Menorca,805,93.24
Menorca,806,89.94
Menorca,807,86.59
Menorca,808,85.34
Menorca,809,87.87
Menorca,810,92.09
Menorca,811,95.51
Menorca,812,97.00
Menorca,813,97.60
Menorca,814,87.34
Menorca,815,76.73
Menorca,816,66.59
Menorca,817,57.36
Menorca,818,53.27
Menorca,819,51.01
Menorca,820,49.83
Menorca,821,51.09
Menorca,822,57.50
